Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,References,,,
Malawi,8.8,10.4,12,13.3,14.5,15.4,16,16.5,16.7,16.7,16.6,16.3,15.8,15.2,14.5,13.9,13.2,12.6,12.1,11.6,11.2,10.8,10.3,9.9,9.5,9.1,http://aidsinfo.unaids.org/,,,
Malaysia,<0.1,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.4,0.4,http://aidsinfo.unaids.org/,,,
Mali,1.8,2,2.1,2.2,2.2,2.2,2.1,2,1.9,1.8,1.7,1.6,1.5,1.5,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,http://aidsinfo.unaids.org/,,,
Mauritania,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.6,http://aidsinfo.unaids.org/,,,
Mauritius,,,,0.1,0.2,0.3,0.4,0.6,0.7,0.9,1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1,1,1,0.9,0.9,http://aidsinfo.unaids.org/,,,
Mexico,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,http://aidsinfo.unaids.org/,,,
Mongolia,,,,,,,,,,,,,,,,,0.018917073170732,0.025241463414634,0.032809756097561,0.039636585365854,0.053814634146342,0.0668,0.080868292682927,0.096648780487805,0.112724390243902,,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2155rank.html,Reported # HIV cases (total) / Population (15-49),,
Morocco,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,http://aidsinfo.unaids.org/,,,
Mozambique,1.6,2,2.4,2.9,3.5,4.1,4.8,5.5,6.3,7.1,7.8,8.6,9.2,9.8,10.2,10.5,10.8,10.9,11.1,11.2,11.2,11.1,11,10.9,10.7,10.5,http://aidsinfo.unaids.org/,,,
Myanmar,,0.1,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,http://aidsinfo.unaids.org/,,,
